"County","State","Year","Population"
"MCLENNAN COUNTY","TX","2017",251259
"MCMULLEN COUNTY","TX","2017",778
"MADISON COUNTY","TX","2017",14222
"MARION COUNTY","TX","2017",10064
"MARTIN COUNTY","TX","2017",5626
"MASON COUNTY","TX","2017",4222
"MATAGORDA COUNTY","TX","2017",36840
"MAVERICK COUNTY","TX","2017",58216
"MEDINA COUNTY","TX","2017",50066
"MENARD COUNTY","TX","2017",2124
"MIDLAND COUNTY","TX","2017",165049
"MILAM COUNTY","TX","2017",25053
"MILLS COUNTY","TX","2017",4921
"MITCHELL COUNTY","TX","2017",8468
"MONTAGUE COUNTY","TX","2017",19539
"MONTGOMERY COUNTY","TX","2017",570934
"MOORE COUNTY","TX","2017",22097
"MORRIS COUNTY","TX","2017",12467
"MOTLEY COUNTY","TX","2017",1230
"NACOGDOCHES COUNTY","TX","2017",65580
"NAVARRO COUNTY","TX","2017",48701
"NEWTON COUNTY","TX","2017",13952
"NOLAN COUNTY","TX","2017",14770
"NUECES COUNTY","TX","2017",361221
"OCHILTREE COUNTY","TX","2017",10073
"OLDHAM COUNTY","TX","2017",2114
"ORANGE COUNTY","TX","2017",85047
"PALO PINTO COUNTY","TX","2017",28570
"PANOLA COUNTY","TX","2017",23243
"PARKER COUNTY","TX","2017",133463
"PARMER COUNTY","TX","2017",9842
"PECOS COUNTY","TX","2017",15634
"POLK COUNTY","TX","2017",49162
"POTTER COUNTY","TX","2017",120458
"PRESIDIO COUNTY","TX","2017",7156
"RAINS COUNTY","TX","2017",11762
"RANDALL COUNTY","TX","2017",134442
"REAGAN COUNTY","TX","2017",3710
"REAL COUNTY","TX","2017",3429
"RED RIVER COUNTY","TX","2017",12229
"REEVES COUNTY","TX","2017",15281
"REFUGIO COUNTY","TX","2017",7224
"ROBERTS COUNTY","TX","2017",938
"ROBERTSON COUNTY","TX","2017",17203
"ROCKWALL COUNTY","TX","2017",96788
"RUNNELS COUNTY","TX","2017",10266
"RUSK COUNTY","TX","2017",52833
"SABINE COUNTY","TX","2017",10461
"SAN AUGUSTINE COUNTY","TX","2017",8253
"SAN JACINTO COUNTY","TX","2017",28270
"SAN PATRICIO COUNTY","TX","2017",67215
"SAN SABA COUNTY","TX","2017",5959
"SCHLEICHER COUNTY","TX","2017",3001
"SCURRY COUNTY","TX","2017",17050
"SHACKELFORD COUNTY","TX","2017",3328
"SHELBY COUNTY","TX","2017",25513
"SHERMAN COUNTY","TX","2017",3067
"SMITH COUNTY","TX","2017",227727
"SOMERVELL COUNTY","TX","2017",8845
"STARR COUNTY","TX","2017",64454
"STEPHENS COUNTY","TX","2017",9337
"STERLING COUNTY","TX","2017",1295
"STONEWALL COUNTY","TX","2017",1388
"SUTTON COUNTY","TX","2017",3767
"SWISHER COUNTY","TX","2017",7515
"TARRANT COUNTY","TX","2017",2054475
"TAYLOR COUNTY","TX","2017",136290
"TERRELL COUNTY","TX","2017",810
"TERRY COUNTY","TX","2017",12715
"THROCKMORTON COUNTY","TX","2017",1527
"TITUS COUNTY","TX","2017",32904
"TOM GREEN COUNTY","TX","2017",118019
"TRAVIS COUNTY","TX","2017",1226698
"TRINITY COUNTY","TX","2017",14667
"TYLER COUNTY","TX","2017",21539
"UPSHUR COUNTY","TX","2017",41281
"UPTON COUNTY","TX","2017",3663
"UVALDE COUNTY","TX","2017",27132
"VAL VERDE COUNTY","TX","2017",49205
"VAN ZANDT COUNTY","TX","2017",55182
"VICTORIA COUNTY","TX","2017",92084
"WALKER COUNTY","TX","2017",72245
"WALLER COUNTY","TX","2017",51307
"WARD COUNTY","TX","2017",11472
"WASHINGTON COUNTY","TX","2017",35043
"WEBB COUNTY","TX","2017",274794
"WHARTON COUNTY","TX","2017",41968
"WHEELER COUNTY","TX","2017",5358
"WICHITA COUNTY","TX","2017",132000
"WILBARGER COUNTY","TX","2017",12764
"WILLACY COUNTY","TX","2017",21584
"WILLIAMSON COUNTY","TX","2017",547545
"WILSON COUNTY","TX","2017",49304
"WINKLER COUNTY","TX","2017",7574
"WISE COUNTY","TX","2017",66181
"WOOD COUNTY","TX","2017",44314
"YOAKUM COUNTY","TX","2017",8568
"YOUNG COUNTY","TX","2017",17979
"ZAPATA COUNTY","TX","2017",14322
"ZAVALA COUNTY","TX","2017",11948
